sex,math,income,cappun,height,idealheight,diff,kkardashtemp
female,no,40900,oppose,63.8,65,1.2000000000000028,6
female,no,56100,oppose,63,65,2,1
female,no,108800,oppose,61.4,63,1.6000000000000014,5
female,no,43100,oppose,67,69,2,3
male,no,15500,oppose,73.4,76,2.5999999999999943,94
male,no,49800,oppose,73.5,76,2.5,77
female,no,16900,oppose,67,68,1,1
female,no,48300,oppose,68.3,70,1.7000000000000028,2
male,no,18400,oppose,73.1,76,2.9000000000000057,91
female,no,16700,oppose,61.2,63,1.7999999999999972,10
male,no,6400,oppose,69,72,3,99
female,no,10900,oppose,63.7,65,1.2999999999999972,8
female,no,82200,oppose,64.1,66,1.9000000000000057,30
male,no,116600,oppose,70.8,73,2.200000000000003,87
female,no,102000,oppose,63,65,2,10
male,no,22100,favor,68.9,71,2.0999999999999943,87
female,no,33600,oppose,64.4,65,0.5999999999999943,3
female,no,18100,oppose,65.3,67,1.7000000000000028,0
male,no,17500,oppose,72.3,75,2.700000000000003,94
male,yes,29200,oppose,68.9,71,2.0999999999999943,98
female,no,6500,oppose,66.9,69,2.0999999999999943,2
male,no,62500,favor,71.9,74,2.0999999999999943,99
female,no,9300,favor,64.9,67,2.0999999999999943,9
male,no,34500,oppose,75.4,78,2.5999999999999943,91
female,no,5400,oppose,63.7,65,1.2999999999999972,8
male,no,50600,oppose,62.4,65,2.6000000000000014,99
female,no,36100,oppose,67.1,69,1.9000000000000057,53
female,no,40800,favor,69.6,71,1.4000000000000057,2
female,no,42400,oppose,64.4,66,1.5999999999999943,18
male,no,38600,oppose,71.2,74,2.799999999999997,91
male,no,45500,favor,69.3,72,2.700000000000003,75
female,no,14000,oppose,63.1,65,1.8999999999999986,6
female,no,24600,oppose,61.8,64,2.200000000000003,3
male,yes,10000,oppose,65.1,68,2.9000000000000057,79
male,no,9700,favor,70.3,73,2.700000000000003,97
female,no,60700,oppose,66.6,68,1.4000000000000057,37
female,no,28100,oppose,65.2,67,1.7999999999999972,2
male,no,8400,oppose,72.1,74,1.9000000000000057,98
male,no,43400,oppose,71.4,74,2.5999999999999943,51
male,no,30400,oppose,73,75,2,73
female,no,54000,favor,66.7,68,1.2999999999999972,10
female,no,12900,oppose,65.7,67,1.2999999999999972,1
male,no,16000,oppose,70.9,73,2.0999999999999943,76
male,no,43500,oppose,76.5,79,2.5,77
male,no,154700,favor,73.2,76,2.799999999999997,80
male,no,13100,favor,69.1,72,2.9000000000000057,77
female,no,51900,oppose,65.1,66,0.9000000000000057,7
female,no,63900,favor,66.7,68,1.2999999999999972,5
male,no,52200,oppose,72.5,75,2.5,96
female,no,55000,oppose,68.6,70,1.4000000000000057,11
female,no,53400,oppose,63.4,65,1.6000000000000014,2
male,no,61600,favor,69.6,72,2.4000000000000057,95
male,no,57500,oppose,74.9,78,3.0999999999999943,93
female,no,102900,favor,63.6,65,1.3999999999999986,1
male,no,1600,favor,69.6,72,2.4000000000000057,85
female,no,59300,oppose,67.8,70,2.200000000000003,14
female,no,27700,favor,63.4,65,1.6000000000000014,21
female,no,20700,oppose,64.7,67,2.299999999999997,1
female,no,85800,oppose,62.8,64,1.2000000000000028,11
female,no,49700,oppose,65.5,67,1.5,6
male,no,25900,favor,70.5,73,2.5,95
female,no,79200,favor,63.7,66,2.299999999999997,4
female,no,86100,favor,69.9,71,1.0999999999999943,2
male,no,61300,oppose,69.4,71,1.5999999999999943,94
male,no,85300,favor,69.1,72,2.9000000000000057,93
female,no,12000,favor,64.2,66,1.7999999999999972,7
female,no,20100,favor,69.5,71,1.5,12
male,no,38600,favor,69.3,72,2.700000000000003,100
male,no,22600,favor,70.9,74,3.0999999999999943,91
female,no,52600,oppose,61.9,63,1.1000000000000014,7
female,no,49000,favor,66.1,67,0.9000000000000057,1
female,no,16400,oppose,60.9,62,1.1000000000000014,9
female,no,39500,oppose,61.2,63,1.7999999999999972,0
male,no,28300,oppose,68,70,2,83
